id,shapeID,shapeGroup,shapeName,intersection_ratio,even_split_ratio,intersection_ratio_commitment_value,even_split_ratio_commitment_value,centroid_longitude,centroid_latitude
33667,63759600B71233846988018,VNM,Bến Tre,0.0,0.0,42395.28,283263.2255813953,106.4594841688815,10.125162896590306
33667,63759600B21046589863912,VNM,Cần Thơ,0.01,0.01,131578.57,283263.2255813953,105.54678820621183,10.107777404843732
33667,63759600B12588044805894,VNM,Tiền Giang,0.01,0.01,83137.25,283263.2255813953,106.26721577613478,10.396456370133825
33667,63759600B66868150968055,VNM,Vĩnh Long,0.0,0.0,56270.43,283263.2255813953,105.96945873963149,10.121537411541473
33667,20573499B82952573339616,MMR,Shan,0.02,0.02,262373.35,283263.2255813953,98.14790310040402,21.730467954096188
35539,37992800B83627159640807,KHM,Phnom Penh,1.0,1.0,,,104.86483422636606,11.561507597941345
35540,37992800B83627159640807,KHM,Phnom Penh,1.0,1.0,,,104.86483422636606,11.561507597941345
35577,37992800B83627159640807,KHM,Phnom Penh,1.0,1.0,185511.52,185511.52,104.86483422636606,11.561507597941345
35662,37992800B83627159640807,KHM,Phnom Penh,1.0,1.0,59613657.72,59613657.72,104.86483422636606,11.561507597941345
35687,37992800B83627159640807,KHM,Phnom Penh,0.43,0.43,19116804.77,22280422.13,104.86483422636606,11.561507597941345
35687,37992800B57023840568534,KHM,Kandal,0.57,0.57,25444039.49,22280422.13,105.0182459497186,11.423555503235097
38722,37992800B83627159640807,KHM,Phnom Penh,1.0,1.0,13223284.89,13223284.89,104.86483422636606,11.561507597941345
38747,37992800B83627159640807,KHM,Phnom Penh,1.0,1.0,,,104.86483422636606,11.561507597941345
38772,37992800B83627159640807,KHM,Phnom Penh,1.0,1.0,221064.96,221064.96,104.86483422636606,11.561507597941345
38774,37992800B83627159640807,KHM,Phnom Penh,1.0,1.0,145398.55,145398.55,104.86483422636606,11.561507597941345
38795,37992800B83627159640807,KHM,Phnom Penh,0.06,0.06,2278081.68,8037821.366,104.86483422636606,11.561507597941345
38795,37992800B57023840568534,KHM,Kandal,0.05,0.05,2002916.05,8037821.366,105.0182459497186,11.423555503235097
38795,37992800B66153290508063,KHM,Kampong Chhnang,0.26,0.26,10334110.29,8037821.366,104.55842050621244,12.168579337675359
38795,37992800B18682012537966,KHM,Pursat,0.25,0.25,9919626.44,8037821.366,103.63721195220246,12.371932303642085
