shapeID_adm1,shapeName_adm1,shapeID_adm2,shapeName_adm2,intersection_ratio,shapeGroup
37992800B90729700897308,Stung Treng,14789045B73389269548404,Sesan,0.9999370773985287,KHM
6923714B50523150920038,Eastern,96606910B40532044353326,Petauke,0.9999366099669201,ZMB
27671186B74554005070963,Nasarawa,59680162B44141715713069,Akwanga,0.9999364437867978,NGA
37992800B99989691305421,Kampot,14789045B28419059899901,Chhuk,0.9999361657905829,KHM
602756B46774983793805,East Sepik Province,67681753B19768820203242,Wewak District,0.999935958157639,PNG
62585838B35888323934872,Sancti Spiritus,75667366B83086301322967,Jatibonico,0.999935661315093,CUB
42786344B42509353156725,Zulia,92452058B36126847225490,San Francisco,0.9999355362893342,VEN
70788906B66040098455254,Tangier-Tetouan-Al Hoceima,96644757B84561517472973,Tetouan Province,0.9999350534936603,MAR
86620642B89646054714247,Northern,16777658B39778167930026,Halfa,0.9999349352252497,SDN
17685810B20487167396081,Isfahan,26516999B946453569638,Shahin Shahr and Meymeh,0.9999348120550997,IRN
86620642B32784125865646,North Darfur,16777658B8925741103615,Melit,0.9999347949393312,SDN
20122684B70279200955241,San Martín,86281439B62722708065748,Mariscal Caceres,0.9999345270620567,PER
11528761B66153365875645,Saint Thomas,35162164B11758798186333,Duhaney Pen,0.9999340737943218,JAM
63332228B70486487350611,Contiguous Azerbaijan,54616110B61947743987915,Baku City,0.9999334979168665,AZE
