tuff_id,clean_link,osm_type,osm_id,unique_id
67126,https://www.openstreetmap.org/relation/6729506,relation,6729506,130
67389,https://www.openstreetmap.org/relation/7369741,relation,7369741,131
67389,https://www.openstreetmap.org/relation/7369759,relation,7369759,132
67608,https://www.openstreetmap.org/relation/6876925,relation,6876925,133
67618,https://www.openstreetmap.org/way/203470198,way,203470198,134
65453,https://www.openstreetmap.org/node/4464565789,node,4464565789,135
65844,https://www.openstreetmap.org/node/2079035603,node,2079035603,136
52552,https://www.openstreetmap.org/way/900996151,way,900996151,137
72499,https://www.openstreetmap.org/way/900996151,way,900996151,138
72500,https://www.openstreetmap.org/way/900996151,way,900996151,139
72502,https://www.openstreetmap.org/way/900996151,way,900996151,140
64870,https://www.openstreetmap.org/node/2123850899,node,2123850899,141
64985,https://www.openstreetmap.org/way/402011494,way,402011494,142
54989,https://www.openstreetmap.org/directions?engine=fossgis_osrm_car&route=42.9328%2C73.2428%3B44.9208%2C74.0256,directions,,143
55016,https://www.openstreetmap.org/directions?engine=graphhopper_car&route=49.3302%2C81.5707%3B44.6589%2C78.0332,directions,,144
53795,https://www.openstreetmap.org/way/375436731,way,375436731,145
53928,https://www.openstreetmap.org/node/3839492840,node,3839492840,146
70646,https://www.openstreetmap.org/node/6895973886,node,6895973886,147
70646,https://www.openstreetmap.org/node/6895973886,node,6895973886,148
70845,https://www.openstreetmap.org/way/375436731,way,375436731,149
55029,https://www.openstreetmap.org/node/6895973886,node,6895973886,150
58661,https://www.openstreetmap.org/node/30405983,node,30405983,151
58661,https://www.openstreetmap.org/node/30121815,node,30121815,152
58661,https://www.openstreetmap.org/node/30402770,node,30402770,153
58661,https://www.openstreetmap.org/node/5475093930,node,5475093930,154
58661,https://www.openstreetmap.org/way/131473316,way,131473316,155
58693,https://www.openstreetmap.org/node/5587461643,node,5587461643,156
58693,https://www.openstreetmap.org/node/1333657670,node,1333657670,157
58693,https://www.openstreetmap.org/directions?engine=graphhopper_car&route=-1.3616%2C36.6557%3B-1.2959%2C36.8088,directions,,158
58693,https://www.openstreetmap.org/way/227699767,way,227699767,159
58693,https://www.openstreetmap.org/way/26723196,way,26723196,160
58693,https://www.openstreetmap.org/way/4716860,way,4716860,161
58693,https://www.openstreetmap.org/way/563011790,way,563011790,162
58693,https://www.openstreetmap.org/way/41291807,way,41291807,163
58693,https://www.openstreetmap.org/way/26723401,way,26723401,164
58693,https://www.openstreetmap.org/node/5422065886,node,5422065886,165
58153,https://www.openstreetmap.org/way/663223951,way,663223951,166
58153,https://www.openstreetmap.org/way/918228920,way,918228920,167
58387,https://www.openstreetmap.org/way/696704120,way,696704120,168
58737,https://www.openstreetmap.org/node/44931883,node,44931883,169
57683,https://www.openstreetmap.org/way/361530541,way,361530541,170
62830,https://www.openstreetmap.org/way/274898335,way,274898335,171
64786,https://www.openstreetmap.org/way/399481351,way,399481351,172
64786,https://www.openstreetmap.org/way/401819195,way,401819195,173
64816,https://www.openstreetmap.org/way/729226729,way,729226729,174
64210,https://www.openstreetmap.org/way/39528312,way,39528312,175
64663,https://www.openstreetmap.org/node/3601791965,node,3601791965,176
64378,https://www.openstreetmap.org/way/182528285,way,182528285,177
64644,https://www.openstreetmap.org/node/300073903,node,300073903,178
65786,https://www.openstreetmap.org/relation/7276833,relation,7276833,179
55839,https://www.openstreetmap.org/way/282276676,way,282276676,180
60024,https://www.openstreetmap.org/way/47471585,way,47471585,181
72748,https://www.openstreetmap.org/way/800644761,way,800644761,182
57601,https://www.openstreetmap.org/way/800758158,way,800758158,183
57555,https://www.openstreetmap.org/way/223976898,way,223976898,184
57499,https://www.openstreetmap.org/directions?engine=fossgis_osrm_car&route=-13.7887%2C33.7821%3B-13.7988%2C33.8148,directions,,185
62285,https://www.openstreetmap.org/way/425416992,way,425416992,186
62285,https://www.openstreetmap.org/way/425416988,way,425416988,187
62285,https://www.openstreetmap.org/way/947011953,way,947011953,188
62285,https://www.openstreetmap.org/way/637959695,way,637959695,189
62285,https://www.openstreetmap.org/way/164947281,way,164947281,190
62285,https://www.openstreetmap.org/way/164947282,way,164947282,191
62286,https://www.openstreetmap.org/way/425416992,way,425416992,192
62286,https://www.openstreetmap.org/way/425416988,way,425416988,193
62286,https://www.openstreetmap.org/way/947011953,way,947011953,194
62286,https://www.openstreetmap.org/way/637959695,way,637959695,195
62286,https://www.openstreetmap.org/way/164947281,way,164947281,196
62286,https://www.openstreetmap.org/way/164947282,way,164947282,197
53832,https://www.openstreetmap.org/way/758835216,way,758835216,198
53832,https://www.openstreetmap.org/way/758835217,way,758835217,199
53832,https://www.openstreetmap.org/way/758835218,way,758835218,200
53832,https://www.openstreetmap.org/way/758835219,way,758835219,201
53832,https://www.openstreetmap.org/way/758835220,way,758835220,202
53832,https://www.openstreetmap.org/way/758835214,way,758835214,203
53832,https://www.openstreetmap.org/way/758835215,way,758835215,204
53832,https://www.openstreetmap.org/way/758835221,way,758835221,205
53832,https://www.openstreetmap.org/way/758835223,way,758835223,206
53832,https://www.openstreetmap.org/way/758835212,way,758835212,207
53832,https://www.openstreetmap.org/way/758835213,way,758835213,208
53832,https://www.openstreetmap.org/way/758835222,way,758835222,209
53832,https://www.openstreetmap.org/way/758835211,way,758835211,210
53832,https://www.openstreetmap.org/way/758835210,way,758835210,211
53832,https://www.openstreetmap.org/way/758835209,way,758835209,212
53832,https://www.openstreetmap.org/way/758835208,way,758835208,213
69440,https://www.openstreetmap.org/way/383751026,way,383751026,214
69440,https://www.openstreetmap.org/way/364840338,way,364840338,215
54281,https://www.openstreetmap.org/node/5031844656,node,5031844656,216
54281,https://www.openstreetmap.org/node/5031844656,node,5031844656,217
71990,https://www.openstreetmap.org/way/313406831,way,313406831,218
58565,https://www.openstreetmap.org/way/348022312,way,348022312,219
59038,https://www.openstreetmap.org/way/348022312,way,348022312,220
59038,https://www.openstreetmap.org/way/211185988,way,211185988,221
56930,https://www.openstreetmap.org/way/228620822,way,228620822,222
57011,https://www.openstreetmap.org/way/332474636,way,332474636,223
64133,https://www.openstreetmap.org/way/316996154,way,316996154,224
64525,https://www.openstreetmap.org/relation/3821455,relation,3821455,225
64540,https://www.openstreetmap.org/way/332366168,way,332366168,226
66302,https://www.openstreetmap.org/way/644975585,way,644975585,227
66302,https://www.openstreetmap.org/node/288986117,node,288986117,228
67161,https://www.openstreetmap.org/way/210292091,way,210292091,229
67161,https://www.openstreetmap.org/node/2353798884,node,2353798884,230
67161,https://www.openstreetmap.org/way/236424630,way,236424630,231
73243,https://www.openstreetmap.org/way/200508087,way,200508087,232
85201,https://www.openstreetmap.org/way/38687015,way,38687015,233
72895,https://www.openstreetmap.org/way/256960866,way,256960866,234
53168,https://www.openstreetmap.org/node/1042037242,node,1042037242,235
57652,https://www.openstreetmap.org/way/325196105,way,325196105,236
57652,https://www.openstreetmap.org/way/192528821,way,192528821,237
57644,https://www.openstreetmap.org/way/192528821,way,192528821,238
73265,https://www.openstreetmap.org/way/95899397,way,95899397,239
63430,https://www.openstreetmap.org/way/205742449,way,205742449,240
71850,https://www.openstreetmap.org/way/233234380,way,233234380,241
53714,https://www.openstreetmap.org/node/3039128486,node,3039128486,242
53719,https://www.openstreetmap.org/way/300634292,way,300634292,243
58559,https://www.openstreetmap.org/way/548626314,way,548626314,244
63321,https://www.openstreetmap.org/way/17793191,way,17793191,245
63321,https://www.openstreetmap.org/way/17793202,way,17793202,246
63321,https://www.openstreetmap.org/way/17793205,way,17793205,247
63321,https://www.openstreetmap.org/way/17793180,way,17793180,248
63321,https://www.openstreetmap.org/way/111483603,way,111483603,249
63321,https://www.openstreetmap.org/way/41979144,way,41979144,250
63321,https://www.openstreetmap.org/way/17785779,way,17785779,251
63321,https://www.openstreetmap.org/way/17793161,way,17793161,252
63321,https://www.openstreetmap.org/way/931651572,way,931651572,253
63321,https://www.openstreetmap.org/way/17789654,way,17789654,254
52424,https://www.openstreetmap.org/way/180542197,way,180542197,255
52431,https://www.openstreetmap.org/way/795821017,way,795821017,256
52431,https://www.openstreetmap.org/way/795821015,way,795821015,257
52431,https://www.openstreetmap.org/way/795821011,way,795821011,258
52431,https://www.openstreetmap.org/way/804325090,way,804325090,259
52431,https://www.openstreetmap.org/way/795821006,way,795821006,260
37233,https://www.openstreetmap.org/way/853499378,way,853499378,261
52423,https://www.openstreetmap.org/way/26807480,way,26807480,262
57673,https://www.openstreetmap.org/relation/11803498,relation,11803498,263
63688,https://www.openstreetmap.org/node/5646358767,node,5646358767,264
63174,https://www.openstreetmap.org/directions?engine=fossgis_osrm_car&route=-5.8588%2C144.2316%3B-5.8302%2C144.2978,directions,,265
64161,https://www.openstreetmap.org/way/665726844,way,665726844,266
64174,https://www.openstreetmap.org/way/245544077,way,245544077,267
61212,https://www.openstreetmap.org/way/415300004,way,415300004,268
68905,https://www.openstreetmap.org/way/415300004,way,415300004,269
63671,https://www.openstreetmap.org/way/901525409,way,901525409,270
67091,https://www.openstreetmap.org/node/4883447321,node,4883447321,271
64765,https://www.openstreetmap.org/way/666117780,way,666117780,272
64765,https://www.openstreetmap.org/node/2025891746,node,2025891746,273
65361,https://www.openstreetmap.org/way/318138553,way,318138553,274
65361,https://www.openstreetmap.org/way/666117780,way,666117780,275
65361,https://www.openstreetmap.org/node/2025891746,node,2025891746,276
64874,https://www.openstreetmap.org/relation/1881658,relation,1881658,277
55544,https://www.openstreetmap.org/node/1600956620,node,1600956620,278
67516,https://www.openstreetmap.org/way/206524513,way,206524513,279
67518,https://www.openstreetmap.org/way/206524513,way,206524513,280
55420,https://www.openstreetmap.org/way/167597064,way,167597064,281
73448,https://www.openstreetmap.org/way/496182485,way,496182485,282
67020,https://www.openstreetmap.org/way/129694192,way,129694192,283
67020,https://www.openstreetmap.org/way/208786353,way,208786353,284
67020,https://www.openstreetmap.org/way/242930728,way,242930728,285
67020,https://www.openstreetmap.org/way/519645629,way,519645629,286
67020,https://www.openstreetmap.org/way/429893282,way,429893282,287
67020,https://www.openstreetmap.org/way/519645635,way,519645635,288
67020,https://www.openstreetmap.org/way/208791400,way,208791400,289
67020,https://www.openstreetmap.org/way/9849396,way,9849396,290
67020,https://www.openstreetmap.org/way/208794453,way,208794453,291
