id,shapeID,shapeGroup,shapeName,intersection_ratio,even_split_ratio,intersection_ratio_commitment_value,even_split_ratio_commitment_value,centroid_longitude,centroid_latitude
89496,15666254B42356713390762,MYS,Johor,0.04,1.0,13560301.5,317407003.0,103.38756450343313,2.052928141849092
89497,15666254B42356713390762,MYS,Johor,0.04,1.0,4734105.26,110811559.9,103.38756450343313,2.052928141849092
89498,15666254B42356713390762,MYS,Johor,0.04,1.0,7622569.48,178422060.4,103.38756450343313,2.052928141849092
92505,15666254B42356713390762,MYS,Johor,1.0,1.0,12474940.29,12474940.29,103.38756450343313,2.052928141849092
65990,15666254B97003483933575,MYS,Kuala Lumpur,1.0,1.0,205471622.6,205471622.6,101.69027433560228,3.143726124529757
66656,15666254B97003483933575,MYS,Kuala Lumpur,1.0,1.0,854782780.1,854782780.1,101.69027433560228,3.143726124529757
86967,15666254B97003483933575,MYS,Kuala Lumpur,1.0,1.0,163620.02,163620.02,101.69027433560228,3.143726124529757
90164,15666254B97003483933575,MYS,Kuala Lumpur,1.0,1.0,318415.31,319096.29,101.69027433560228,3.143726124529757
90185,15666254B97003483933575,MYS,Kuala Lumpur,0.93,0.5,,,101.69027433560228,3.143726124529757
90185,15666254B92074897121205,MYS,Penang,0.07,0.5,,,100.40429231211024,5.365926743447724
90224,15666254B97003483933575,MYS,Kuala Lumpur,1.0,1.0,,,101.69027433560228,3.143726124529757
90232,15666254B97003483933575,MYS,Kuala Lumpur,1.0,1.0,78178.59,78178.59,101.69027433560228,3.143726124529757
90233,15666254B97003483933575,MYS,Kuala Lumpur,0.95,0.5,,,101.69027433560228,3.143726124529757
90233,15666254B54729125478011,MYS,Putrajaya,0.05,0.5,,,101.69116739050972,2.93146986837696
90272,15666254B97003483933575,MYS,Kuala Lumpur,1.0,1.0,17958.74,17958.74,101.69027433560228,3.143726124529757
90409,15666254B97003483933575,MYS,Kuala Lumpur,1.0,1.0,10163.22,10163.22,101.69027433560228,3.143726124529757
90410,15666254B97003483933575,MYS,Kuala Lumpur,1.0,1.0,23453.58,23453.58,101.69027433560228,3.143726124529757
90411,15666254B97003483933575,MYS,Kuala Lumpur,1.0,1.0,53182.71,53182.71,101.69027433560228,3.143726124529757
66205,15666254B45695250728659,MYS,Malacca,1.0,1.0,42998522.39,42998522.39,102.30713967173509,2.32744920874943
67075,15666254B45695250728659,MYS,Malacca,0.03,1.0,,,102.30713967173509,2.32744920874943
62461,15666254B60207109163985,MYS,Negeri Sembilan,1.0,1.0,142843153.1,142843153.1,102.20818250861844,2.7762288379127
38134,15666254B53975248776023,MYS,Kelantan,0.98,0.5,253559.36,129280.34,102.02697872429654,5.282997366334441
38134,15666254B34720353032971,MYS,Pahang,0.01,0.5,3169.7,129280.34,102.53982774725284,3.739809023253904
38135,15666254B53975248776023,MYS,Kelantan,0.23,0.33,3913.03,5637.87,102.02697872429654,5.282997366334441
38135,15666254B34720353032971,MYS,Pahang,0.56,0.33,9521.22,5637.87,102.53982774725284,3.739809023253904
38135,15666254B71460903090065,MYS,Terengganu,0.2,0.33,3393.66,5637.87,102.94671794279463,4.937591760073048
38623,15666254B53975248776023,MYS,Kelantan,1.0,1.0,5745.79,5745.79,102.02697872429654,5.282997366334441
66248,15666254B53975248776023,MYS,Kelantan,0.23,0.33,,,102.02697872429654,5.282997366334441
66248,15666254B34720353032971,MYS,Pahang,0.56,0.33,,,102.53982774725284,3.739809023253904
66248,15666254B71460903090065,MYS,Terengganu,0.2,0.33,,,102.94671794279463,4.937591760073048
90193,15666254B54729125478011,MYS,Putrajaya,1.0,1.0,101632.17,101632.17,101.69116739050972,2.93146986837696
90197,15666254B54729125478011,MYS,Putrajaya,1.0,1.0,2651929.46,2651929.46,101.69116739050972,2.93146986837696
90221,15666254B54729125478011,MYS,Putrajaya,1.0,1.0,79774.07,79774.07,101.69116739050972,2.93146986837696
90299,15666254B54729125478011,MYS,Putrajaya,1.0,1.0,15635.72,15635.72,101.69116739050972,2.93146986837696
90517,15666254B54729125478011,MYS,Putrajaya,1.0,1.0,31271.44,31271.44,101.69116739050972,2.93146986837696
90741,15666254B54729125478011,MYS,Putrajaya,1.0,1.0,8150.12,8150.12,101.69116739050972,2.93146986837696
93117,15666254B54729125478011,MYS,Putrajaya,1.0,1.0,18483.65,18483.65,101.69116739050972,2.93146986837696
62338,15666254B34720353032971,MYS,Pahang,1.0,1.0,357107882.8,357107882.8,102.53982774725284,3.739809023253904
